a,a_mod6,Q,right_6Np1,left_6Nm1,right_over_left,channels_n_mod6,C_product,C_empirical
-2,4,201186,67100,134085,0.5004,1|2|3|5,1.8500,1.8545
1,1,148654,49358,99296,0.4971,0|2|4,1.3728,1.3703
2,2,77243,0,77243,0.0000,3,0.7130,0.7120
3,3,121798,121798,0,inf,2|4,1.1207,1.1227
4,4,148802,49503,99299,0.4985,1|3|5,1.3728,1.3716
5,5,57620,0,57620,0.0000,0,0.5282,0.5311
6,0,77369,77369,0,inf,1|5,0.7130,0.7132
7,1,214234,71465,142769,0.5006,0|2|4,1.9730,1.9748
11,5,55441,0,55441,0.0000,0,0.5101,0.5110
13,1,139742,46644,93098,0.5010,0|2|4,1.2858,1.2881
